API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,WellPadDirection,ENVWellGrouping,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVTicker,ENV_Peer_Group,ENVCompanyType,ENV_Stock_Exchange,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVProducingMethod,ENVRegion,ENVBasin,ENVPlay,ENVSubPlay,ENVInterval,ENVIntervalSource,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,ENVWellboreType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,WellNumber,SurfaceLatitudeLongitudeSource,PlugDate,PlugbackMeasuredDepth_FT,PlugbackTrueVerticalDepth_FT,AvgBreakdownPressure_PSI,AvgClusterSpacingPerStage_FT,AvgClusterSpacing_FT,AvgFracGradient_PSIPerFT,AvgISIP_PSI,AvgMillTime_Min,AvgPortSleeveOpeningPressure_PSI,AvgShotsPerCluster,AvgShotsPerFt,AvgTreatmentPressure_PSI,AvgTreatmentRate_BBLPerMin,"ClustersPer1,000Ft",ClustersPerStage,"ShotsPer1,000Ft",ShotsPerStage,TotalShots,AvgFluidPerCluster_BBL,AvgFluidPerShot_BBL,AvgFluidPerStage_BBL,FracRigOnsiteDate,FracRigReleaseDate,AvgProppantPerCluster_LBS,AvgProppantPerShot_LBS,AvgProppantPerStage_LBS,StimulatedStages,TotalClusters,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,ElevationKB_FT,ElevationGL_FT,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,FirstRigDay,ENVCompInsertedDate,StateFileNumber,ENVFracJobType,ENVFluidType,CompletionTime_DAYS,CompletionDesign,PermitToSpud_DAYS,SpudToRigRelease_DAYS,SpudToCompletion_DAYS,SpudToSales_DAYS,SoakTime_DAYS,NumberOfStrings,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,FracStages,AverageStageSpacing_FT,ENVProppantBrand,ProppantLoading_LBSPerGAL,ENVProppantType,ProppantIntensity_LBSPerFT,Proppant_LBS,TotalWaterPumped_GAL,WaterIntensity_GALPerFT,TotalFluidPumped_BBL,FluidIntensity_BBLPerFT,AcidVolume_BBL,Bottom_Hole_Temp_DEGF,Biocide_LBS,Breaker_LBS,Buffer_LBS,ClayControl_LBS,CrossLinker_LBS,FrictionReducer_LBS,GellingAgent_LBS,IronControl_LBS,ScaleInhibitor_LBS,Surfactant_LBS,Energizer_LBS,Diverter_LBS,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,WaterDepth,TestWHLiquids_PCT,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilProdPriorTest_BBL,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProducingMonth,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,CumulativeSOR,Last3MonthISOR,TopOfZone_FT,BottomOfZone_FT,SubseaTopDepth_FT,SubseaBaseDepth_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,InjectorWellClass,SpudDateSource,TestRate_MCFEPerDAYPer1000FT,FirstProdYear
42-371-39958,4237139958,42-371-39958-00,423713995800,42-371-39958-00-00,42371399580000,840420005364180,840421006624347,42-371-39950,N,,1,GUNPOWDER 21-16 WA4 704H,US,TX,PECOS,53359,GUNPOWDER 21-16 WA4,EXXON,XTO ENERGY INC.,XTO ENERGY,XOM,MAJOR,PUBLIC,NYSE,NEXTIER OILFIELD SOLUTIONS,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A UPPER,ENV ANALYST,INACTIVE PRODUCER,INACTIVE PRODUCER,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2020-01-01,31.135623,-103.130874,31.157803,-103.129226,10581,18500,08,HOEFS T-K,T&P RR CO,48,884,,21,8S,,,GUNPOWDER 21-16 WA4,704H,REPORTED,,18498,10581,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-Q1,2020 / 01,2769,ACTUAL,2743,ACTUAL,2769,2743,ACTUAL,2019-01-14,2019-01-11,2019-05-09,2019-07-10,2019-07-10,2020-01-13,2019-03-13,2021-06-15,,SLICKWATER HC,FRESH WATER,29,,115,62,249,252,11,2,10993,18357,7364,7709,,,,0.84,SAND ONLY,2666,19634894,23245404,3157,553462,75,,,,245,38240,,,60566,,,,,,,2020-01-24,32,2101,285,12605,1889,257,1271,173,9550,1297,,90,2700,1438,,8087,PUMPING,40.00,,67001,9098,58407,7931,402003,54590,57266,7776,526267,101744,13816,90633,12308,610461,82898,86638,11765,794219,129406,17573,116921,15877,776435,105437,109919,14927,993626,159165,21614,152122,20658,954988,129683,133811,18171,1183979,326651,44358,347735,47221,1959905,266147,268695,36488,2006532,272479,2020-02-01,2,26025,3534,22157,3009,156149,21204,22332,3033,189453,344059,46722,368455,50035,2064355,280331,282650,38383,2065145,41,2023-05-01,1059,1520,4220,51151,65086,40303,185724,82,1304,,,10155,10269,-7395,-7507,122,91.63,2.50,64.32,0.124,0.088,0.27,0.65,0.18,10.66,0.070,8.5,3.99,,Reported,1712,2020
42-371-40264,4237140264,42-371-40264-00,423714026400,42-371-40264-00-00,42371402640000,840420005441105,840421006809114,42-371-40462,E,,,HOLE IN THE ROCK 46-47 J 10TB,US,TX,PECOS,,HOLE IN THE ROCK 46-47 J,DIAMONDBACK,DIAMONDBACK E&P LLC,DIAMONDBACK E&P,FANG,LARGE CAP,PUBLIC,NASDAQ,,,OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP D,ENV ANALYST,DUC,DUC,,,HORIZONTAL,SINGLE BORE,BONE SPRING,,31.080475,-103.114214,31.078282,-103.083552,9877,20373,08,HOEFS T-K,T&P RR CO,48,7210,,46,8,,,,10TB,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846,ACTUAL,2818,ACTUAL,2846,2820,ACTUAL,2020-06-17,2020-06-11,2024-02-21,,2024-05-30,,2024-02-28,,,,,,,1344,99,,,,3,,,,10158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11360,14312,-8529,-11472,2948,86.15,2.57,11.32,0.085,0.085,0.26,0.63,0.86,249.81,0.049,143.3,0.57,,Reported,,
42-389-36559,4238936559,42-389-36559-00,423893655900,42-389-36559-00-00,42389365590000,840420004680295,840421006226197,42-389-36559,S,,1,REEVES TXL FEE T7-50-29 1H,US,TX,REEVES,51997,REEVES TXL FEE T7-50-29,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,NEXTIER OILFIELD SOLUTIONS,OIL (40%+ WH LIQUIDS),OIL,OIL,GAS LIFT,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2019-10-01,31.246053,-103.352181,31.229564,-103.354093,10664,16386,08,PHANTOM,T&P RR CO,50,3685,,20,7S,,,REEVES TXL FEE T7-50-29,1H,REPORTED,,16288,10605,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-Q4,2019 / 10,2783,ACTUAL,2752,ACTUAL,2783,2752,ACTUAL,2017-11-20,2017-11-06,2019-04-10,2019-07-15,2019-07-15,2019-10-18,2019-04-27,2019-10-18,,SLICKWATER HC,FRESH WATER,14,,506,96,191,189,70,4,11204,16268,5064,5394,,,,0.90,SAND ONLY,2664,13490875,15040474,2970,358107,71,833,,7714,,,,,85827,,1278,,566359,,,2019-12-27,64,932,184,5589,769,152,975,193,1727,341,,83,1035,335,,56900,GAS LIFT,42.00,,65712,12976,73870,14587,394273,77858,53401,10545,115695,106977,21125,133415,26346,641860,126750,84741,16734,175327,138908,27431,190029,37526,833449,164583,107237,21176,218655,165810,32743,237336,46867,994861,196457,126254,24932,255738,330330,65231,609450,120349,1981979,391386,228755,45173,466135,92049,2019-11-01,2,30915,6105,30694,6061,185490,36629,26224,5178,58892,479659,94719,1084211,214102,2877954,568316,298957,59036,625847,61,2024-10-01,2545,29755,6092,73450,244969,32622,76280,62,3627,,,10612,10805,-7861,-8057,199,69.04,2.56,134.73,0.087,0.071,0.18,0.75,0.35,14.11,0.044,8.8,2.43,,Reported,1104,2019
42-371-40378,4237140378,42-371-40378-00,423714037800,42-371-40378-00-00,42371403780000,840420019358181,840421007076787,42-371-40378,E,,1,JAVELINA CHARMER 27-28 UNIT 4507H,US,TX,PECOS,57939,JAVELINA CHARMER 27-28 UNIT,GREENLAKE ENERGY,GREENLAKE ENERGY OPERATING  LLC,"GREENLAKE ENERGY OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,LIBERTY OILFIELD SERVICES,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP C,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2022-09-01,31.197436,-103.136763,31.193990,-103.102252,10848,21137,08,HOEFS T-K,PSL,C2,5053,,26,,,,JAVELINA CHARMER 27-28 UNIT,4507H,REPORTED,,21123,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-Q3,2022 / 09,2707,ACTUAL,2682,ACTUAL,2707,2682,ACTUAL,2022-03-11,2022-01-25,2022-05-10,2022-07-12,2022-07-12,2022-09-25,2022-05-10,2023-02-11,,SLICKWATER HC,FRESH WATER,22,,60,63,138,129,40,3,11050,21065,10015,9926,,,CRYSTALLINE SILICA QUARTZ / US SILICA,0.84,SAND ONLY,2268,22713404,27050788,2701,644066,64,13,,9643,11177,,,,96841,,,69072,705769,,,2022-11-04,44,1007,101,6043,855,85,913,91,7888,788,,85,1049,,,20520,PUMPING,38.00,,49623,4955,48435,4836,297735,29729,41550,4149,430684,98921,9877,105304,10515,593524,59264,81370,8125,914018,137942,13773,172360,17210,827649,82641,109215,10905,1221221,168165,16791,237444,23709,1008988,100748,128591,12840,1413504,,,,,,,,,,,2022-11-01,3,24191,2415,29135,2909,145143,14493,20156,2013,190493,281928,28151,587543,58666,1691569,168904,184004,18373,1841643,26,2024-10-01,2845,26299,16898,93386,297426,43815,322648,65,3193,,,10871,11309,-8146,-8579,392,93.73,2.54,13.64,0.079,0.064,0.28,0.65,0.88,25.34,0.002,0.7,1.41,,Reported,603,2022
42-389-34384,4238934384,42-389-34384-00,423893438400,42-389-34384-00-00,42389343840000,840420000642906,840421001973754,42-389-34384,S,,1,GIRAFFE UNIT 18B 4H,US,TX,REEVES,47867,GIRAFFE UNIT 18B,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,NEXTIER OILFIELD SOLUTIONS,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2016-04-01,31.224125,-103.171646,31.201536,-103.171680,10687,18600,08,WOLFBONE,PSL,C1,1240,,18,,,,Giraffe Unit 18B,4H,REPORTED,,,,,,,,,,,,,,,,,,,,,,624414,,,,,19528610,,,2016,2016-Q2,2016 / 04,2684,ACTUAL,2659,ACTUAL,2684,2659,ACTUAL,2014-08-25,2014-06-12,2014-09-08,2014-11-16,2014-11-16,2016-04-17,2014-10-15,2019-05-25,,SLICKWATER HC,UNKNOWN,5,,14,69,587,586,43,3,11001,18600,7599,7593,,,"ATLAS CRC-E 40/70 | OTTAWA WHITE 40/70 MESH SAND | TX LOCAL 100 MESH SAND",0.74,SAND ONLY,2570,19528610,26225388,3451,624414,82,0,,,,,,,,0,,,,,,2016-05-30,30,1199,158,7193,1038,137,965,127,5153,678,,87,1960,500,,1038,PUMPING,41.00,,54779,7209,39781,5235,328675,43252,48149,6336,417635,111825,14716,88846,11692,670948,88294,97017,12767,829291,153935,20257,129884,17092,923612,121544,132288,17409,1121041,189838,24982,163045,21456,1139029,149892,162664,21406,1367678,402890,53019,415000,54612,2417338,318113,333723,43917,2655505,349455,2016-06-01,3,24955,3284,21395,2816,149729,19704,21389,2815,190668,655047,86202,708087,93182,3930279,517210,537032,70671,3859794,101,2024-08-01,1640,1425,7733,31893,35735,25937,127015,82,1319,,,10621,10797,-7923,-8105,181,71.40,2.54,105.61,0.099,0.080,0.19,0.74,0.35,14.45,0.062,11.3,2.85,,Reported,947,2016
42-371-39234,4237139234,42-371-39234-00,423713923400,42-371-39234-00-00,42371392340000,840420000648781,840421002574021,42-371-39234,SW,,,CONNIE 1H,US,TX,PECOS,46880,CONNIE,BATTALION OIL,HALCON OPERATING CO.  INC.,SAMSON EXPL,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL & GAS,OIL & GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,UNREPORTED,,,VERTICAL,ORIGINAL,WOLFCAMP,2015-06-01,31.068725,-103.220501,31.068319,-103.220313,10794,10800,08,PHANTOM,T&P RR CO,49,8529,,04,9S,,,CONNIE,1H,REPORTED,,10198,10198,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2015-Q2,2015 / 06,2839,ACTUAL,2816,ACTUAL,2839,2816,ACTUAL,2014-08-07,2014-07-13,2015-03-13,,2015-05-05,,2015-02-20,,,,,,,218,53,,95,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,2015
42-371-39234,4237139234,42-371-39234-01,423713923401,42-371-39234-01-00,42371392340100,840420000648781,840421006761358,42-371-39234,SW,,1,CONNIE 1H,US,TX,PECOS,46880,CONNIE,BATTALION OIL,HALCON OPERATING CO.  INC.,SAMSON EXPL,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL & GAS,OIL & GAS,FLOWING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,LATERAL,WOLFCAMP,2015-06-01,31.068725,-103.220501,31.056089,-103.235658,10377,16700,08,PHANTOM,T&P RR CO,49,8529,,04,9S,,,CONNIE,1H,REPORTED,,16619,10198,,,,,,,,,,,,,,,,,,,498618,,,,,12918840,,,2015,2015-Q2,2015 / 06,2839,ACTUAL,2816,ACTUAL,2839,2816,ACTUAL,2014-08-07,2014-07-13,2015-03-13,2015-05-05,2015-05-05,2015-06-11,2015-02-20,2016-01-03,,SLICKWATER HC,FRESH WATER,9,,218,53,90,95,3,4,10666,16576,5910,6061,,,"SAND - PREMIUM WHITE | SSA-2",0.62,SAND ONLY,2186,12918840,20941956,3543,498618,84,813,,18870,,,,,41997,,,,2588993,,,2015-06-14,32,902,153,5410,756,128,874,148,3936,666,,84,1552,1552,,869,FLOWING,41.00,,57694,9762,50244,8502,346164,58573,49320,8345,188099,90145,15253,79104,13385,540870,91518,76961,13022,309777,114683,19405,103149,17453,688095,116429,97491,16496,403772,136346,23070,124132,21004,818074,138422,115657,19570,490295,278830,47179,273805,46329,1672981,283076,233196,39458,1158221,195977,2015-07-01,2,22940,3882,18779,3177,137639,23289,19810,3352,81814,416133,70412,430872,72906,2496798,422470,344321,58261,2235083,112,2024-09-01,521,468,9459,7954,8619,6517,109746,83,1251,,,10313,10546,-7474,-7706,238,76.04,2.52,33.56,0.120,0.085,0.23,0.68,0.49,20.13,0.043,10.3,3.33,,Reported,915,2015
42-389-39282,4238939282,42-389-39282-00,423893928200,42-389-39282-00-00,42389392820000,840420005594638,840421006883366,42-389-39282,S,,,BLACK STONE 2-11 C 3BS,US,TX,REEVES,,BLACK STONE 2-11 C,DIAMONDBACK,DIAMONDBACK E&P LLC,DIAMONDBACK E&P,FANG,LARGE CAP,PUBLIC,NASDAQ,,,OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,2ND BONE SPRING SAND,ENV INTERPRETED,DRILLED,DRILLED,,,HORIZONTAL,SINGLE BORE,BONE SPRING,,31.185557,-103.193049,31.157619,-103.187158,9597,20108,08,HOEFS T-K,T&P RR CO,49,1830,,02,8S,,,,3BS,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703,ACTUAL,2689,ACTUAL,2703,2689,ACTUAL,2020-12-15,2020-12-11,2021-03-19,,2021-06-06,,2021-05-15,,,,,,,94,79,,,,3,,,,9927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9549,9882,-6835,-7165,331,91.28,2.55,128.83,0.095,0.071,0.25,0.71,0.06,23.44,0.067,22.2,3.14,,Reported,,
42-389-34390,4238934390,42-389-34390-00,423893439000,42-389-34390-00-00,42389343900000,840420000643023,840421003805778,42-389-34390,N,,1,LEMUR 24 1H,US,TX,REEVES,47206,LEMUR 24,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP B UPPER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2015-10-01,31.199844,-103.269147,31.215362,-103.269343,10815,16203,08,WOLFBONE,PSL,C1,1325,,25,,,,LEMUR 24,1H,REPORTED,,,,,,,,,,,,,,,,,,,,,,357462,,,,,11031789,,,2015,2015-Q4,2015 / 10,2761,ACTUAL,2736,ACTUAL,2761,2736,ACTUAL,2014-08-01,2014-06-17,2014-09-14,2015-05-07,2015-05-07,2015-10-28,2015-03-18,2023-12-08,,,,,,44,235,409,397,14,3,11122,16203,5081,5164,,,,0.73,SAND ONLY,2171,11031789,15013404,2955,357462,70,,,,,,,,,,,,,,,2015-11-11,28,1070,211,6420,913,180,942,185,4941,972,,85,1725,450,,,PUMPING,44.00,,50257,9891,42351,8335,301545,59348,43199,8502,390370,86893,17102,78848,15518,521360,102610,73752,14515,728816,112506,22143,106279,20917,675037,132855,94793,18656,957914,130926,25768,126624,24921,785556,154607,109822,21614,1118695,247322,48676,307210,60463,1483930,292055,196120,38599,1986195,390906,2015-11-01,2,27472,5407,21296,4191,164834,32441,23923,4708,190837,373577,73524,462818,91088,2241464,441146,296441,58343,2780849,107,2024-08-01,734,593,4575,13804,12091,11789,75794,79,1561,,,10751,10860,-8006,-8108,94,77.42,2.52,64.88,0.116,0.089,0.23,0.68,0.33,8.37,0.047,4.4,3.13,,Reported,1264,2015
42-371-38980,4237138980,42-371-38980-00,423713898000,42-371-38980-00-00,42371389800000,840420000749185,840421002206042,42-371-38980,,,1,BERKLEY STATE 4612,US,TX,PECOS,51225,BERKLEY STATE,BATTALION OIL,HALCON OPERATING CO.  INC.,EXL PETR,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL,OIL,FLOWING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INACTIVE PRODUCER,INACTIVE PRODUCER,,,VERTICAL,SINGLE BORE,WOLFCAMP,2013-03-01,31.074477,-103.218098,31.074477,-103.218098,11775,11775,08,PHANTOM,T&P RR CO,49,8538,,46,8S,,,BERKLEY STATE,4612,REPORTED,,11740,11740,,,,,,,,,,,,,,,,,,,3498,,,,,127950,,,2013,2013-Q1,2013 / 03,2841,ACTUAL,2821,ACTUAL,2841,2821,,2012-09-11,2012-08-29,2013-02-09,2013-03-11,,2013-04-22,,2019-05-25,,,,,,151,,71,34,,3,10068,11614,1546,,8,,,0.87,,662,1023600,1175646,760,27992,18,,,,,,,,,,,,,,,2013-04-28,38,287,,1720,231,,334,,822,,,81,950,150,,886,FLOWING,43.00,,5290,,6194,,31742,,4258,,68948,10384,,11780,,62306,,8421,,131146,16192,,19282,,97150,,12978,,194340,19566,,24738,,117396,,15443,,225265,34045,,50267,,204269,,25667,,239325,,2013-05-01,3,3407,,4349,,20441,,2682,,42939,47823,,70824,,286938,,36019,,239325,90,2020-08-01,0,24,0,112,216,76,0,75,1966,,,,,,,,,,,,,,,,,,,,,Reported,,2013
42-371-38980,4237138980,42-371-38980-00,423713898000,42-371-38980-00-01,42371389800001,840420000749185,840421006827619,42-371-38980,,,2,BERKLEY STATE 4612,US,TX,PECOS,51225,BERKLEY STATE,BATTALION OIL,HALCON OPERATING CO.  INC.,EXL PETR,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INACTIVE PRODUCER,INACTIVE PRODUCER,,,VERTICAL,SINGLE BORE,WOLFCAMP,2013-03-01,31.074477,-103.218098,31.074477,-103.218098,11775,11775,08,PHANTOM,T&P RR CO,49,8538,,46,8S,,,BERKLEY STATE,4612,REPORTED,,11740,11740,,,,,,,,,,,,,,,,,,,3492,,,,,132700,,,2013,2013-Q1,2013 / 03,2841,ACTUAL,2821,ACTUAL,2841,2821,,2012-09-11,2012-08-29,2013-02-09,2013-03-11,,2013-07-26,,2020-10-31,,CROSSLINK HC,FRESH WATER,1,,151,,166,34,,3,8542,11614,3072,,14,,,0.90,SAND ONLY,605,1857800,2053844,669,48901,16,320,,1420,450,4226,,6920,,26029,684,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,2013
42-371-39367,4237139367,42-371-39367-90,423713936790,42-371-39367-90-00,42371393679000,840420000749239,840421006899739,42-371-39367,S,,,SOUTH SMARTY JONES STATE 32 1HA,US,TX,PECOS,47723,SOUTH SMARTY JONES STATE 32,MANTI TARKA PERMIAN,MANTI TARKA PERMIAN OP  LLC,MANTI RESOURCES,MANTI TARKA PERMIAN*,NON-PE-BACKED PRIVATE,PRIVATE,,,OIL (40%+ WH LIQUIDS),OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,UNREPORTED,,,VERTICAL,PILOT,WOLFCAMP,2016-01-01,31.112925,-103.237815,31.113418,-103.237863,11492,11500,08,PHANTOM,T&P RR CO,49,8479,,32,8S,,,SOUTH SMARTY JONES STATE 32,1HA,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016-Q1,2016 / 01,2799,ACTUAL,2774,ACTUAL,2799,2774,ACTUAL,2015-10-27,2015-10-19,2015-10-31,,2015-12-05,,2015-11-05,,,,,,,4,35,,77,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,2016
